,Year,Origin State,Material Group Description,Material Description,Purchased Quantity LB,Purchased Value $
127,2011,CA,"VEGETABLE, CANNED",TOMATO SAUCE CAN-24/300,2609032.5,905045.49
128,2011,CA,"VEGETABLE, CANNED",SPAGHETTI SAUCE MEATLESS CAN-24/300,692550.0,263363.4
129,2011,CA,"VEGETABLE, CANNED",BEANS VEGETARIAN CAN-6/10,769824.0,242333.0
130,2011,CA,"VEGETABLE, CANNED",BEANS PINTO CAN-6/10,629856.0,196281.0
131,2011,CA,"VEGETABLE, CANNED",BEANS SMALL RED CAN-6/10,384912.0,126993.0
132,2011,CA,"BEANS, DRY",BEANS BABY LIMA DRY PKG-12/2 LB,120960.0,73768.0
133,2011,CA,"BEANS, DRY",BEANS GREAT NORTHERN DRY PKG-12/2 LB,282240.0,143540.0
134,2011,CA,"FRUIT, CANNED",PEACHES CLING SLICES CAN-24/300,6670350.0,3771408.6
135,2011,CA,"FRUIT, CANNED",PEACHES CLING SLICES EX LT CAN-6/10,9896796.0,5334477.78
136,2011,CA,"FRUIT, CANNED",PEACHES CLING DICED EX LT  CAN-6/10,8410464.0,5039575.2
137,2011,CA,"FRUIT, CANNED",MIXED FRUIT CAN-24/300,1385100.0,897010.2
138,2011,CA,"FRUIT, CANNED",MIXED FRUIT EX LT CAN-6/10,725040.0,423651.36
139,2011,CA,"FRUIT, CANNED",APRICOTS HALVES EX LT CAN-6/10,978804.0,726426.24
140,2011,CA,"FRUIT, CANNED",APRICOTS DICED PEELED EX LT CAN-6/10,1145016.0,676704.0
141,2011,CA,"FRUIT, CANNED",PEACHES CLING SLICES EX LT CAN-6/10,2682648.0,1823416.32
142,2011,CA,"FRUIT, CANNED",K PEACHES CLING CAN-6/10,217512.0,128810.88
143,2011,CA,"VEGETABLE, CANNED",TOMATO PASTE CAN-6/10,1708833.96,883968.0
144,2011,CA,"VEGETABLE, CANNED",TOMATO DICED CAN-6/10,348840.0,118122.24
145,2011,CA,"VEGETABLE, CANNED",TOMATO SAUCE CAN-24/300,68850.0,30095.1
146,2011,CA,"VEGETABLE, CANNED",TOMATO SAUCE CAN-6/10,326268.0,99152.64
147,2011,CA,"VEGETABLE, CANNED",SPAGHETTI SAUCE MEATLESS CAN-6/10,529788.0,204956.08
148,2011,CA,"FRUIT, DRIED",PLUMS PITTED DRIED PKG-24/1 LB,36000.0,39450.0
149,2011,CA,"FRUIT, DRIED",PLUMS PITTED DRIED PKG-24/1 LB,252000.0,313950.0
150,2011,CA,"FRUIT, FROZEN",APRICOT SLICES FRZ BOX-20 LB,76000.0,71630.0
151,2011,CA,"FRUIT, FROZEN",APRICOT FRZ CUP-96/4.5 OZ,258720.0,283318.0
152,2011,CA,"FRUIT, FROZEN",PEACHES FREESTONE SLICES FRZ CTN-12/2 LB,871200.0,944772.84
153,2011,CA,"FRUIT, FROZEN",PEACHES FREESTONE SLICES FRZ CTN-20 LB,114000.0,82783.0
154,2011,CA,"FRUIT, FROZEN",PEACH FREESTONE DICED FRZ CUP-96/4.4 OZ,2698080.0,3147396.0
155,2011,CA,"FRUIT, FROZEN",STRAWBERRY FRZ CTN-30 LB,673200.0,583413.6
156,2011,CA,"FRUIT, FROZEN",STRAWBERRY SLICES FRZ CTN-30 LB,1227600.0,1017772.8
157,2011,CA,"FRUIT, FROZEN",PEACHES FREESTONE SLICES FRZ CTN-20 LB,76000.0,52858.0
158,2011,CA,"FRUIT, FROZEN",PEACH FREESTONE DICED FRZ CUP-96/4.4 OZ,8082861.6,7601511.27
159,2011,CA,"FRUIT, FROZEN",STRAWBERRY FRZ CUP-96/4.5 OZ,8815527.0,10460517.04
160,2011,CA,"FRUIT, FROZEN",APRICOT FRZ CUP-96/4.5 OZ,651024.0,839814.0
161,2011,CA,"FRUIT, FROZEN",STRAWBERRY SLICES FRZ CTN-30 LB,1207800.0,1062725.4
162,2011,CA,"FRUIT, CANNED",APRICOT HALVES CAN-24/300,182250.0,129972.6
163,2011,CA,"FRUIT, CANNED",MIXED FRUIT CAN-24/300,218700.0,135982.8
164,2011,CA,"FRUIT, CANNED",PEACHES CLING SLICES CAN-24/300,400950.0,350211.6
165,2011,CA,"FRUIT, CANNED",PEACHES CLING SLICES EX LT CAN-6/10,7940619.0,5366707.08
166,2011,CA,"FRUIT, CANNED",PEACHES CLING DICED EX LT  CAN-6/10,2972664.0,1611914.4
167,2011,CA,"VEGETABLE, CANNED",TOMATO DICED CAN-6/10,488376.0,199791.84
168,2011,CA,"VEGETABLE, CANNED",TOMATO SALSA CAN-6/10,2102616.0,1040792.64
169,2011,CA,"FRUIT, DRIED",RAISINS BOX-144/1.33 OZ,1102608.0,1770219.36
170,2011,CA,"FRUIT, DRIED",RAISINS PKG-24/15 OZ,272160.0,352598.4
171,2011,CA,"FRUIT, DRIED",PLUMS PITTED DRIED PKG-24/1 LB,1080000.0,1230915.0
172,2011,CA,"FRUIT, FROZEN",PEACH FREESTONE DICED FRZ CUP-96/4.4 OZ,110880.0,122682.0
173,2011,CA,"FRUIT, FROZEN",K PEACH FREESTONEDICED FRZ CUP-96/4.4 OZ,73920.0,81732.0
174,2011,CA,"FRUIT, FROZEN",STRAWBERRY FRZ CTN-30 LB,831600.0,746024.4
175,2011,CA,"FRUIT, JUICE",GRAPE CONCORD JUICE PLST BTL-8/64 FL OZ,2675250.0,1875391.25
176,2011,CA,"FRUIT, JUICE",GRAPEFRUIT JUCE PLST BTL-8/64 FL OZ,71340.0,25420.0
177,2011,CA,"VEGETABLE, JUICE",TOMATO JUICE PLST BTL-8/64 FL OZ,998760.0,329547.75
178,2011,CA,NUTS,PISTACHIO ROASTED IN SHELL PKG-25/1 LB,3160000.0,14402873.63
179,2011,CA,"VEGETABLE, CANNED",TOMATO PASTE DRUM-55 GAL,808920.0,360840.96
180,2011,CA,"VEGETABLE, CANNED",TOMATO PASTE FOR BULK PROCESSING,6783000.0,2532807.9
181,2011,CA,"FRUIT, DRIED",FIG PIECES PKG-24/1 LB,6692016.0,7742047.82
182,2011,CA,"FRUIT, DRIED",FIG PIECES CTN-25 LB,70000.0,67648.0
183,2011,CA,"FRUIT, DRIED",PLUMS PITTED DRIED PKG-24/1 LB,2088000.0,2187330.0
184,2011,CA,"FRUIT, DRIED",PLUMS PITTED DRIED CTN 25 LB,38500.0,40702.2
185,2011,CA,"FRUIT, DRIED",FIG PIECES PKG-24/1 LB,380160.0,525550.0
186,2011,CA,"FRUIT, DRIED",FRUIT MIX DRIED PKG-5/5 LB,2766400.0,7186160.8
187,2011,CA,"VEGETABLE, DRIED",POTATOES DEHYDRATED FLKS PKG-12/1 LB,480000.0,770900.0
188,2011,CA,"FRUIT, FROZEN",PEACH FREESTONE DICED FRZ CUP-96/4.4 OZ,36960.0,34664.0
189,2011,CA,"FRUIT, JUICE",GRAPE CONCORD JUICE PLST BTL-8/64 FL OZ,463710.0,347300.75
190,2011,CA,"FRUIT, DRIED",PLUMS PITTED DRIED PKG-24/1 LB,1152000.0,1352400.0
191,2011,CA,"FRUIT, FRESH",PEARS BARTLETT FRESH CTN-45 LB,81000.0,40275.0
192,2011,CA,"FRUIT, FRESH",APPLES RED DELICIOUS FRESH CTN-40 LB,35574.0,16170.0
193,2011,CA,"FRUIT, FRESH",APPLES GALA FRESH G CARTON-40 LB,71148.0,32986.8
